                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.75974,                 1.2998,                0.51166,                0.98845,                 0.8717,                0.88379,                0.91273,                0.70249,                0.86439,                0.87639,                0.90433,                0.63111,                0.86051,                 1.5433,                 0.5684,                 1.0477,              0.0002378,              0.0002378,              0.0002378
                     92,                0.76759,                 1.2803,                0.51217,                0.99175,                0.86827,                0.88423,                0.91674,                0.70989,                0.87061,                0.86984,                0.90628,                0.63969,                0.85881,                  1.562,                0.56444,                 1.0513,               0.000218,               0.000218,               0.000218
                     93,                0.75048,                 1.2609,                0.48705,                0.99436,                  0.874,                0.87321,                0.91652,                0.70791,                0.86543,                0.86452,                0.90544,                0.64313,                0.86369,                 1.5428,                0.57586,                 1.0469,              0.0001982,              0.0001982,              0.0001982
                     94,                0.74375,                  1.272,                0.52104,                  0.981,                 0.8593,                0.88778,                0.91549,                0.70699,                0.87426,                0.85731,                0.90383,                0.63974,                0.86207,                 1.5601,                0.57869,                 1.0463,              0.0001784,              0.0001784,              0.0001784
                     95,                0.74267,                 1.2714,                0.49557,                0.99803,                0.88325,                0.87048,                0.91719,                0.71241,                0.88393,                0.85893,                 0.9064,                0.63855,                0.85535,                 1.5519,                0.56435,                 1.0374,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.7433,                 1.2599,                0.47043,                0.98726,                0.86314,                0.87838,                0.91749,                0.70785,                0.85778,                0.86357,                0.90487,                0.63858,                0.85902,                 1.5518,                0.57311,                 1.0367,              0.0001388,              0.0001388,              0.0001388
                     97,                0.73659,                 1.2528,                0.46767,                0.98372,                0.88517,                0.86727,                 0.9182,                0.71184,                0.87933,                0.85901,                0.90462,                0.63749,                0.85979,                 1.5539,                0.56188,                 1.0475,               0.000119,               0.000119,               0.000119
                     98,                0.72487,                 1.2185,                0.47387,                 0.9701,                0.88104,                0.87012,                0.91851,                0.71341,                0.88208,                0.85788,                0.90654,                0.64109,                0.85406,                  1.545,                0.56575,                 1.0405,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.75824,                 1.2658,                0.57094,                0.98534,                0.89059,                0.86713,                0.92152,                0.71529,                0.88526,                0.86015,                 0.9077,                0.64363,                0.85211,                 1.5455,                0.55693,                 1.0414,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.73254,                  1.249,                0.47119,                0.98155,                0.88393,                0.87439,                0.91957,                0.71379,                0.88072,                0.86437,                0.90692,                0.64031,                0.85238,                  1.545,                 0.5583,                 1.0404,               5.96e-05,               5.96e-05,               5.96e-05
